Identifier	F519_33h	F519_41h	F519_45h	F519_49h	F519_53h	F519_57h	F519_61h	F519_65h	F519_69h	F521_33h	F521_41h	F521_45h	F521_49h	F521_53h	F521_57h	F521_61h	F521_65h	F521_69h	F522_33h	F522_41h	F522_45h	F522_49h	F522_53h	F522_57h	F522_61h	F522_65h	F522_69h
SCO6597	7.457488101491599	7.699024332321499	8.35454010794328	7.845010758481812	7.8941115251782445	7.5304062474468765	8.079813512666115	7.764807023375503	6.888069478884954	9.095130525948136	7.2099711867028615	8.481836109470537	7.127175695138594	7.682140960255288	8.060608182003264	7.54766364078515	7.605061440400464	8.207028689721238	7.724438821289004	7.306756927781901	7.2863373902883115	9.24774961280679	7.994255487312877	7.562362512426238	7.499656037536316	7.707283082845097	8.32152412248024
SCO6598	7.810340196497302	7.864824770941672	7.750986939558887	7.815797575088219	7.526297314629156	7.415174511522823	7.580538254554002	7.678519844510237	7.775747589645326	7.722113374678101	7.842538611707872	7.845010758481812	7.897465355106745	7.58478569446238	7.6769176840331985	7.773790041960893	7.789782325320878	7.8526905458861584	7.919365456247446	7.981952136922483	7.892284921243985	7.742702751382452	7.605061440400464	7.9583521322372475	7.7138987821235405	7.885489648621878	7.740498754689763
SCO6599	9.505709186830899	9.30710522716583	9.084688834969114	8.829845723206118	8.944733929987658	9.189313206029434	9.276984218250565	9.231098718892637	9.399937879949148	9.324455468109052	9.167563665590935	9.191119703561862	8.720615203281836	9.116582528575464	9.170319549845546	9.342040658310989	9.336346891248636	9.236259253997972	9.352305363652171	9.338984428745771	9.29362789159915	8.62736054424348	9.175532280047886	9.135468446773313	9.203560345954592	9.413001286481013	9.147718793915143
SCO6600	6.369129283791734	7.15675757890607	7.623790688461169	6.888069478884954	6.471952801514288	6.267346764544799	7.014385568397268	6.484095454513184	6.363689892081321	8.047042642399093	6.509093413810141	7.310852207416438	6.667561281916008	6.774394188019352	7.14039140923963	6.982705995831614	6.231148780052037	7.092344660844754	6.939534019504521	6.706277267654873	6.758336368047216	7.911776569163566	7.053300351782272	6.390591225172102	6.289950341739882	6.891799955034704	7.085979317779213
SCO6601	5.924015848696948	6.099295077685413	5.792032637568038	5.985795398395111	6.0681878424697535	6.283601456892194	6.67089728030158	6.354854122645587	5.595853898946101	6.242101800897334	5.601145676976481	6.52856380176398	5.831481215962932	6.1799789910372045	6.323711576011105	6.026726638029246	6.231148780052037	6.867148929634579	6.3013654135822925	6.021726628416632	5.40597517062538	6.1361129250196536	6.447545291867558	6.350145615594128	6.5594229327345985	6.305977407816785	6.546395183276466
SCO6602	5.815287385957438	5.150298094765359	5.969079713613762	6.134941216218969	5.499134027913359	5.454332358113749	5.879121185692381	5.9862096171548975	0.886104166800214	6.415149857221306	5.4605155723869565	5.944003278354299	4.969091795126802	6.109996644770923	6.2253738500421205	5.922667028276539	5.792032637568038	6.0979909675836215	5.157571985189291	5.506392384484264	5.21885823476979	5.919924946893863	5.144510897927511	5.732534346962348	5.519518346974652	5.836358973780898	5.80578661686271
SCO6603	3.8620237037089837	4.919561407717939	4.974633473574943	5.116579566778287	5.038038174833725	5.3974693545957315	5.58287531943014	5.471489400512829	4.993426731047113	5.3106602545721415	3.9033787684337264	5.701067080183967	5.0518740548771195	5.332721813325153	5.637245780592908	5.394075656185174	5.955007928391401	5.834054357632811	4.5203602891608625	5.2751106592275185	5.461066449116476	5.545530571054309	4.531476327983394	4.999396815802916	5.483964466173131	5.740189102151822	5.201531579486141
SCO6604	6.57974201129924	6.010323383952258	6.41156908971991	6.548423043810878	6.631074129974298	6.591020031525318	6.972556309550658	7.11705082047477	6.332322927689013	6.853954356910969	6.52856380176398	6.790893082021718	6.594136520844827	7.003840462860542	6.762349700773354	6.83987183887862	6.706519048262752	7.121656388187118	6.211028187444225	5.954404157564398	6.365724771652551	6.899315890775494	6.592474549780432	6.686563775501949	6.891799955034704	6.502197847755372	6.822076177028528
SCO6605	4.069582808944316	3.2076961463152696	2.905956747969589	2.097056667702197	2.160629990059162	4.022937323419321	3.8620237037089837	3.14317610219899	5.306261788498412	3.397603739608497	2.83247423824485	3.1385179768842497	3.2414891304901152	3.5675730995710175	3.2539270126373965	4.009975469989503	2.99922785646234	3.604703185216093	4.090270829335619	3.0610856149765726	3.504073714017549	3.173386310328512	3.2301154724345467	2.43175202363879	3.5312437967172294	3.800438449215526	3.199051495407808
SCO6606	10.905179258403866	10.852961676987626	10.705348605811945	11.888426698845322	10.976937835889078	10.762812441695203	10.700810663741985	10.807413785150176	10.807413785150176	10.920723797309474	10.717300706851411	10.663138898904256	11.97267565315441	11.006094888272923	10.770006162304355	10.744330791887162	10.837971512038575	10.75310487984076	11.00458343777065	10.6716860638592	10.635976494916175	11.723580194457021	10.935356764490514	10.729840589542722	10.763646758541203	10.73177416458997	10.695901981680292
